phrase,tension,source_post_ids
leave GPA off resume,T93,1tgx4y4
leave address off resume,T93,1m495n7
photos on resumes,T93,1pc4i3t
weird resume interests,T93,1qqb9kh
HR burnout,T94,1rean2l
HR department of one,T94,1rean2l
one-person HR department,T94,1ndxmta
small startup with HR,T94,1tcvmhu
ignoring self-service portal,T95,1qc5srv
password reset overload,T95,1psmdby
users won't self-serve,T95,1psmdby
what have you tried,T95,1p6gglk
AI handles small tickets,T96,1m1uw9v
interrupt-driven ticket work,T96,1snww7w
senior engineers clearing tickets,T96,1snww7w
wish for an assistant,T96,1rean2l
coworker can't troubleshoot,T97,1p6gglk
need backup cross-training,T97,1qqfgk4
owner is the bottleneck,T97,1r9x049
undocumented processes,T97,1r9x049
AI bubble misallocation,T98,1s8qy30
AI diminishing returns,T98,1mk8zj6
AI hype dying,T98,1mvid8s
AI productivity myth,T98,1r6olcv
AI slop cleanup,T99,1mg2r6y
AI slows experienced devs,T99,1lwk503
enshittification of software,T99,1tysnmi
fixing broken AI code,T99,1o29tge
cluttered UX drove users away,T100,1lq1axg
declining software quality,T100,1tysnmi
giving up on quality,T100,1sgcy1e
poorly built product,T100,1mtzb36
employee brought a lawyer,T101,1slf670
fired employee's wife emailed,T101,1u0ub56
fired someone secretly important,T101,1o7jwzg
froze in disciplinary meeting,T101,1slf670
AI hiring bubble,T102,1n6nk56
AI-first job listings,T102,1me6nps
AI/ML pay leap,T102,1u2eac7
Meta poaching AI talent,T102,1lsktlz
built project for jobs,T103,1oeua90
html css project,T103,1sd1mk9
personal coding side project,T103,1m952bp
quirky portfolio side project,T103,1nw0yj9
build in public,T104,1nwkp7n
finding business ideas,T104,1sivput
landing foreign clients,T104,1q3g7to
monetizing my experience,T104,1mc4kly
H-1B visa fee,T105,1nlffj7
H1-B fee hike,T105,1nln213
H1B fee kills startups,T105,1nlnu7z
startups don't use H1B,T105,1nlnu7z
form an LLC,T106,1m0dipl
lawsuit liability fears,T106,1n0wf37
legal liability risk,T106,1nxxj9a
solo needs liability insurance,T106,1m0dipl
bet all savings,T107,1sczfjo
build a cash cushion,T107,1oez2al
get into trades,T107,1tk2gm4
start with revenue,T107,1mn2g0a
contractor corruption danger,T108,1p06g8t
government accountability tool,T108,1oft1b5
public contractor transparency,T108,1oft1b5
road contract transparency app,T108,1p06g8t
resume signals age,T109,1s48g1j
show level not history,T109,1p6f8zb
thrown out after 40,T109,1nv4vkb
not needed for SWE,T110,1mwf5cc
performance still good,T110,1nq97gf
replaced by AI pod,T110,1lzl3hx
no IC work removed,T111,1mhnd12
not replaced,T111,1slp30t
possibly dumping work,T111,1n7eahh
ME/EE will saturate,T112,1sxyx3n
jobs won't return,T112,1m7zvlx
trades not greener,T112,1pclgy1
borrowing coworker credentials,T113,1ojbebq
leaked API key abuse,T113,1twro01
stolen identity remote,T113,1udssl4
allergy-unsafe work event,T114,1poemw0
basic emergency training,T114,1n2n5at
bystander effect,T114,1n2n5at
apply directly company site,T115,1udujvg
nowhere takes in-person applications,T115,1sdkw9z
pay to apply,T115,1muz9kp
salary depends on company,T116,1n33ojb
salary hidden until call,T116,1r1t85m
varies by sector,T116,1mia8v9
candidate assesses employer too,T117,1pq5gaz
interview reveals company culture,T117,1no2id4
interview the employer back,T117,1s1f90b
essential jobs poverty pay,T118,1uhxpst
everyone works to survive,T118,1rqxb54
invisible essential work,T118,1o7jwzg
constant layoff fear,T119,1lpwy62
endless budget cuts,T119,1r5kxed
fear of being fired,T119,1rbmab1
escaped toxic manager,T120,1ozlobb
good manager celebrates departure,T120,1oq74un
guilt leaving invested manager,T120,1oq74un
asked to lie,T121,1rueh11
forced to lie,T121,1ub3scn
getting caught lying,T121,1ttrt35
authenticity over rehearsed answers,T122,1r2q6ni
don't judge appearances,T122,1t5xr2o
honest gap answers,T122,1t15bb9
1300-day leetcode streak,T123,1nhbs59
endless leetcode grind,T123,1mcop22
leetcode grind,T123,1locuwk
InMails ignored,T124,1t07sz5
developers ignoring recruiter outreach,T124,1r83w9l
low InMail response rates,T124,1n50dxd
interview nerves,T125,1rqjc77
interview rustiness,T125,1nlcxvf
turning around bad interview,T125,1r2q6ni
faking competing offer,T126,1pa3xz9
lying about salary ranges,T126,1o36mjj
salary negotiation lie,T126,1pa3xz9
LinkedIn Recruiter overpriced,T127,1n50dxd
declining recruiter pay,T127,1mia8v9
negotiating search firm fees,T127,1rfbz1t
job search after layoff,T128,1tvg8jn
laid off aftermath,T128,1npydua
work after being fired,T128,1o6ib5n
commission clawback,T129,1mwgs0e
recruitment commission reductions,T129,1mia8v9
retroactive commission change,T129,1mwgs0e
flirting with HR,T130,1r9403h
inappropriate workplace advances,T130,1r9403h
manager inappropriate behavior,T130,1rueh11
HR produces no revenue,T131,1qfq40e
HR seen as useless,T131,1qfq40e
SHRM increasingly irrelevant,T131,1pfc8cw
just let me build,T132,1mha63e
prefer IC role,T132,1lofy1t
unexpected supervisor role,T132,1ovyd48
engineers own their PRs,T133,1tkccsi
report wants decision authority,T133,1oe522u
self-approving first PR,T133,1ojbebq
AI doom loop,T134,1mmx040
AI push feels evil,T134,1mdcl9n
no ethics in tech,T134,1mdcl9n
lack of self-sufficiency,T135,1p6gglk
staff lacked training,T135,1n2n5at
talents being wasted,T135,1mrjz3v
founder conflict destroyed company,T136,1nxsiwd
most startups fail,T136,1sczfjo
startup dying,T136,1nxsiwd
WFH accommodation denied,T137,1njgtwo
doctor's note ignored,T137,1njgtwo
no-restrictions return policy,T137,1n0wf37
ads disguised as posts,T138,1r6efr9
fake reviews flagged,T138,1okn7vb
influencers selling courses,T138,1ma04es
AI face filter,T139,1miu768
AI impersonating candidate,T139,1o2kjdo
North Korean fake candidates,T139,1nhx4x6
ask probing questions,T140,1miu768
negotiate from strength,T140,1sqtvxz
soften the delivery,T140,1rgqxh2
AI for boilerplate only,T141,1lwk503
AI pushing a PR,T141,1m1uw9v
AI-generated PR replies,T141,1nq5npn
nobody hits quota,T142,1opbf1c
unreachable commission targets,T142,1opbf1c
remote for visibility,T143,1t606n3
return to office outdated,T143,1mqd0ot
relative already chosen,T144,1oqvlzf
wired reqs never open,T144,1tqtaub
ads not legal entitlement,T145,1pqjore
hidden PTO caps,T145,1o3ma5d
fake founder titles,T146,1lym1qd
startup faking certifications,T146,1rz15ui
hiring managers as bottleneck,T147,1m6gk8x
no time to interview,T147,1sqtvxz
cut no-shows with texting,T148,1rm6jq3
reminder texts reduce no-shows,T148,1rb2lh4
RTO forces quiet quitting,T149,1rgqxh2
RTO kills childcare flexibility,T149,1rgqxh2
resenting coworkers taking PTO,T150,1n7eahh
unlimited PTO problems,T150,1o3ma5d
physical toll of trades,T151,1pclgy1
physical toll on body,T151,1lrskmr
only hire single guys,T152,1o95zv3
stop hiring Indians,T152,1ma4i05
elite education hypocrisy,T153,1ostbi4
out of touch entitled,T153,1omx86l
leaving toxicity liberating,T154,1ozlobb
spotting toxic red flags,T154,1rg4wxs
did everything right anyway,T155,1qwkjfg
no good deed goes unpunished,T155,1o5mfjm
candidate ghosting,T156,1npli6y
clients ghosting,T156,1tbfwum
free work during interview,T157,1oto36c
unpaid interview writeup,T157,1oto36c
catching interview cheaters easily,T158,1r5my44
how did he pass interview,T158,1rteomh
remove graduation year,T159,1s48g1j
removed graduation year,T159,1s9ikc5
intern refused any pay,T160,1p8k684
no training offered,T160,1pszdaz
LinkedIn job search,T161,1rtxijj
optimize LinkedIn profile,T161,1nmapst
asking about real earnings,T162,1opbf1c
asking about revenue,T162,1tcvmhu
reporting racist coworker,T163,1pntmta
told coworker who complained,T163,1ndxmta
toxic employee removal,T164,1noh7z3
toxic work culture,T164,1qwoi6a
coworker rearranged my office,T165,1q4l32f
workplace pranks,T165,1s9sak7
Windows not dev OS,T166,1lyjs8d
forced Windows laptop,T166,1lyjs8d
application slop,T167,1qxg9vv
easy apply black hole,T167,1ti8s8h
resume quality problem,T168,1t3gbbu
talent shortage,T168,1nlffj7
free giveaway breeds entitlement,T169,1o5mfjm
free users bad feedback,T169,1r9659a
bad company reputation,T170,1mxgbxi
bad optics,T170,1pwqnax
brain-fart on basics,T171,1rqjc77
environment mismatch not character,T171,1rrvc7e
couldn't follow simple instructions,T172,1n5ohbj
users don't read instructions,T172,1psmdby
fired for interviewing,T173,1nek3kc
fired for leaving on time,T173,1rkldbw
abruptly ended interview,T174,1n5ohbj
walked out of interview,T174,1mxgbxi 1opbf1c
accrued vs annual PTO,T175,1s3xvix
no PTO payout,T175,1o3ma5d
no two-week notice,T176,1n2ncbs 1s9bz1x
quit after two days,T176,1reulsd
AI recruiting tools useless,T177,1nxapg9
stop using AI interviews,T177,1mlgwky
AI-written content skepticism,T178,1sivput
false AI accusations,T178,1mrg1k0
ad blocking legality,T179,1pqjore
client-side ad blocking,T179,1pqjore
bloated mobile apps,T180,1qcvz7o
lightweight native PDF editor,T180,1qcvz7o
